,awardeeName,count
801,Regents of the University of Michigan - Ann Arbor,133
775,Purdue University,130
1166,University of Wisconsin-Madison,128
1162,University of Washington,125
398,Georgia Tech Research Corporation,125
74,Arizona State University,123
764,Pennsylvania State Univ University Park,117
1040,University of California-Berkeley,110
1053,University of Colorado at Boulder,110
1072,University of Illinois at Urbana-Champaign,110
1187,Virginia Polytechnic Institute and State University,109
1151,University of Texas at Austin,108
699,North Carolina State University,108
259,Cornell University,107
1061,University of Florida,99
197,Carnegie-Mellon University,98
249,Columbia University,97
605,Massachusetts Institute of Technology,91
1093,University of Minnesota-Twin Cities,85
1051,University of Chicago,83
1084,"University of Maryland, College Park",83
1045,University of California-San Diego,81
619,Michigan State University,81
705,Northeastern University,81
493,Johns Hopkins University,79
1043,University of California-Los Angeles,78
1059,University of Delaware,75
691,New York University,73
930,Stanford University,73
1042,University of California-Irvine,72
1101,University of Nebraska-Lincoln,70
1159,University of Utah,69
482,Iowa State University,68
1041,University of California-Davis,68
140,Brown University,64
719,"OHIO STATE UNIVERSITY, THE",64
299,Duke University,62
1237,Yale University,62
773,Princeton University,62
968,Texas A&M University,61
827,Rutgers University New Brunswick,61
476,Indiana University,61
1034,University of Arizona,61
1065,University of Hawaii,60
1220,William Marsh Rice University,60
1141,University of Southern California,60
1161,University of Virginia Main Campus,59
1085,University of Massachusetts Amherst,59
1111,University of North Carolina at Chapel Hill,58
1070,University of Illinois at Chicago,57
1048,University of California-Santa Barbara,56
1124,University of Pennsylvania,55
738,Oregon State University,55
1044,University of California-Riverside,54
390,George Mason University,53
83,Auburn University,51
247,Colorado State University,50
1182,Vanderbilt University,48
1138,University of South Carolina at Columbia,48
231,Clemson University,47
1063,University of Georgia Research Foundation Inc,47
279,Dartmouth College,47
554,Louisiana State University,46
1122,University of Oklahoma Norman Campus,45
1074,University of Iowa,45
1147,University of Tennessee Knoxville,45
1056,University of Connecticut,44
1120,University of Notre Dame,42
1226,Woods Hole Oceanographic Institution,41
363,Florida State University,41
713,Northwestern University,40
1123,University of Oregon Eugene,40
181,California Institute of Technology,40
