,grant_key,Unnamed: 0,id,agency,awardeeName,awardeeCity,awardeeStateCode,piFirstName,piLastName,title,date,startDate,expDate,fundsObligatedAmt,abstractText,orgCandidate,_org,org_combo_flag,org_count_flag,is_multi_org_flag
0,id:1002878,1396,1002878,NSF,University of Connecticut Health Center,FARMINGTON,CT,Raquell,Holmes,Pilot:  Improvisational Theater for Computing Scientists,2010-09-08,2010-09-01,2012-08-31,98058,"Improvisational Theater for Computing Scientists is a pilot project designed to evaluate use of the performance art of improvisation to develop the creative capacity of individuals and groups in science education and research in the emerging field of computational biology. The ultimate research question for this project is whether training in improvisational theatre can provide scientists and science students with the ability to generate new inquiry spaces for their research?  Scientists and science educators are rarely taught how to build creative environments that encourage open exploration and risk taking. In contrast performers in improvisational theatre are explicitly trained to develop such environments and their ability for experimentation and risk taking. Improvisational theatre (IT) training is an established approach for stimulating creativity and team collaboration in business, early education and engineering design.  This emergent, collaborative idea generation and experimentation can lead to creative and transformative actions for the individual as well as the ensemble. Science education and research positioned as an improvisational, ensemble performance may give the ?actors? in the sciences the required lens for transforming their research and training into a continuous creative and innovative process.  This is crucial for the field of computational biology, as it is reliant on the generation of new scientific relationships, synergies and integrative methodologies.    Over the course of this project, educators, scientists and students in computing and computational biology disciplines will be brought together in improvisational theater workshops led by creative artists to 1) learn the principles of improvisational theatre 2) develop their ability to build creative, social risk-taking environments 3) develop indicators of creativity specific to the field of computational biology and 4) design improvisation exercises for creativity in computational biology that can be incorporated into the computational biology curriculum. A broad dissemination of the project results to journals and conferences in biology education, computational science and computing is anticipated. Improvisational exercises for concepts and creativity in computational biology will be made available via the project website and incorporated into submitted presentations and workshops at computing science symposiums and conferences that support scientific communities in the biosciences and support broadening participation initiatives for women and underrepresented minorities in the computing sciences.",Beaumont Health,Beaumont,Beaumont & Corewell & Spectrum,3,True
1,id:1004847,907,1004847,NSF,University of North Texas Health Science Center at Fort Worth,FORT WORTH,TX,Rita,Patterson,"2010 Summer Bioengineering Conference: June 16-20, 2010 in Naples, FL",2010-04-12,2010-04-15,2011-03-31,20000,"1004847  Patterson    The Summer Bioengineering Conference is a high quality, multidisciplinary annual biomedical engineering event sponsored by the American Society of Mechanical Engineers-Bioengineering Division. The 2010 Summer Bioengineering Conference will be held June 16-20 in Naples, Florida. A hallmark of this meeting is the interaction and true integration of rigorous engineering principles and biologic concepts.     NSF funds will aid in reducing student registration fees; help in reimburse some of the student travel costs, to cover in part the publication costs of the program booklet and CD, and to help fund supplies for a special workshop aimed at enabling attendees to create partnerships with K-12 teachers in developing and implementing interactive STEM (Science, Technology, Engineering, and Mathematics) lessons.     This conference, with a focus on biomechanical engineering, brings together all different bioengineering communities including cell and molecular engineering, tissue engineering, functional tissue engineering, etc. It is co-sponsored by several bioengineering related societies.     The conference format will be 6 parallel sessions of oral presentations. Approximately 1/3rd to half of the accepted papers will be presented in poster format. A booklet will provide program details to the participants of the conference. All technical presentations will be two-page extended abstracts and compiled in a CD format, distributed to all registrants. Copies of this CD will also be provided to all co-sponsoring societies. The CD will serve as the only technical proceedings of the meeting.     Plenary lectures will highlight an outstanding speaker with lectures relevant for all attendees. Chris Rogers, the director of the Center for Engineering Education Outreach at Tufts University, will speak about his program to use robots to bring engineering education into the younger grades. Working with LEGO, he has developed ROBOLAB, a robotic approach to learning science and math. ROBOLAB has already gone into over 50,000 schools worldwide and has been translated into 15 languages.     One workshop titled Grand Challenge Competition to Predict knee Loads in Vivo will build on one presented in 2009. The aim of this competition is to advance the entire field of musculoskeletal modeling by critically evaluating muscle force estimates at the knee during gait using data collected from a patient with a force-measuring knee implant. Competitors will be given access to key biomechanical data and asked to use their unique computational models to predict knee contact forces.     Educational workshops will build on the success of sessions presented in 2009 (obtaining the ideal faculty position and teaching undergraduate biomechanics). They will include leadership and young and mid career development. The Speed Networking program piloted in 2008 will be expanded into an industry workshop focused on connecting industry with academia.     In addition to the direct impact this conference will have on the mainstream bioengineering community, it will serve an important cross-fertilization role. The organizers expect to have bioengineers, engineers from other disciplines, cell and molecular biologists, biochemists, biophysicists, and other scientists participating in the meeting. In that manner, this conference will have a much broader impact than if it were to be attended by just the bioengineering community. In addition, more than 50% of the attendees will be students. This will provide a broad impact for the current times as well as for the future as these students will benefit by participation in the meeting and through the material presented by the plenary speakers and workshops. Furthermore, through the CD containing technical proceedings and conference web site, information presented at the meeting will be available to multiple societies and to the public at large.",Spectrum Health,Spectrum,Beaumont & Corewell & Spectrum,3,True
2,id:1006950,403,1006950,NSF,University of New Mexico Health Sciences Center,ALBUQUERQUE,NM,Stephanie,Ruby,EAGER:  Shifting the Spliceosome's Gears,2010-01-04,2010-02-01,2011-01-31,30000,"Intellectual merit. Spliceosomal RNAs are thought to catalyze two transesterification reactions that excise the pre-mRNA's intron and ligate its two exons together during nuclear pre-mRNA splicing. Recent in vitro studies support this idea. A U6/U2 RNA complex can splice together two exons in vitro in the absence of other spliceosomal factors. Furthermore, affinity-purified yeast spliceosomes under altered conditions in vitro can act in reverse to insert an intron into spliced exons. This ""reverse splicing"" is consistent with the reversibility of RNA-catalyzed transesterification reactions. Reverse splicing in the affinity-purified spliceosome is achieved in vitro by altering the pH and the concentrations of mono- and divalent cations. These alterations are likely changing RNA-RNA, RNA-protein and protein-protein interactions within the spliceosome. Thus it may be possible to reverse splicing by adding protein fragments to an arrested spliceosome to alter critical interactions, and thus induce the spliceosome to reverse splice under normal pH and salt conditions. In this project, this possibility will be tested by in vitro splicing assays using affinity purified spliceosomes and various fragments of a spliceosomal protein. Although these experiments are reasonably simple to perform, there is a high risk that they will be successful. The risk is in both the hypothesis and selecting the right protein fragments to test. However, if successful, the experiments will fundamentally alter our view of the regulation of nuclear pre-mRNA splicing.    Broader impact. The research will have several immediate outcomes important to science and to education and training. The results will increase our understanding of the factors that regulate splicing. The ability to drive the spliceosome either forward or backward will reveal the most fundamental interactions within the spliceosome that control its catalytic activity. The project will also provide a research opportunity for at least one undergraduate student.",Corewell Health,Corewell,Beaumont & Corewell & Spectrum,3,True
3,id:1007261,375,1007261,NSF,Health Research Incorporated/New York State Department of Health,MENANDS,NY,Liaquat,Husain,"Collaborative Research:  Sources of Black Carbon, Methane Sulfonic Acid, and Other Particulate Constituents over 45 Years in the Arctic",2010-09-16,2010-10-01,2015-03-31,273917,"Particles are important in the global climate and black carbon (BC) particles are disproportionately important because they absorb sunlight directly warming the atmosphere. Deposition of BC on ice/snow surfaces changes its albedo and enhances melting. The Arctic receives its BC from much of the northern hemisphere. Regional BC emissions have dramatically changed over these 45 years. Therefore, to develop strategies to limit BC and other PM transported to the Arctic, it is essential to determine the regional particulate mass (PM) contributions. The changing climate also affects the production of biogenic sulfate particles that increases the negative radiative forcing.     This collaborative project between Clarkson University and SUNY Albany/ Health   Research, Inc/ NYS Health Department with the cooperation of the Finnish Meteorological Institute will develop the world's longest record (45 year time series) of PM compositions of Arctic Haze at a single location by analyzing archived samples collected at Kevo, Finland. This work will: (1) determine the concentrations of BC, SO4 (sulfate), methane sulfonic acid (MSA), and other selected ions, cations and trace elements at Kevo for 45 continuous years; (2) investigate seasonal effects; (3) use state-of-the-art statistical methods, and air parcel back trajectories to determine the contributions of various emission regions and source types to the Arctic region.     This project has the following broader impacts. The resulting long term record of Arctic PM composition variation and its analyses will improve our understanding of Arctic change over nearly a half century. Insights into atmospheric transport and chemical transformation can be gleaned from these data, and identify trends that may extend into the future. The thoroughly analyzed and quality assured data set will be available to the scientific community for comparison of long-term BC and sulfate trends in the Arctic for model evaluations. The other species and data analysis will identify the PM sources over these 45 years. The relative concentrations of absorbing and scattering particles will be determined in this critical geographical area.",Corewell Health,Corewell,Beaumont & Corewell & Spectrum,3,True
4,id:1009244,1386,1009244,NSF,Florida Department of Health Division of Information Technology,TALLAHASSEE,FL,Kendra,Goff,"CNH: Collaborative Research: Modeling the Dynamics of Harmful Algal Blooms, Human Communities, and Policy Choices Along the Florida Gulf Coast",2010-09-29,2010-10-01,2015-09-30,143032,"Project Abstract  Around the world, harmful algal blooms (HABs) in the marine environment are an increasing threat to human health and coastal ecosystems.  This research will examine the choices and effectiveness of policies for mitigating the economic and public health effects of blooms of the harmful alga, Karenia brevis, along Florida's Gulf of Mexico coast.  The project team will develop a modeling framework comprising statistical models of the dynamics of nature and human demographics, environmental exposure-response models, cost-minimization models, and a policy-simulation model that connects these submodels.  An Education Program will be implemented to evaluate education and outreach tools that have been designed to minimize exposure to risks.  The research will focus on the following: (1) modeling the relationship between nutrient loadings and the frequency, spread, intensity, and duration of HABs in the eastern Gulf of Mexico; (2) clarifying the changing patterns of short- and long-term human population distributions along the Florida Gulf Coast; (3) specifying the connection between HABs as marine hazards (exposures) and human respiratory ailments (responses); (4) inputing the economic costs of illnesses associated with respiratory ailments; (5) demonstrating feasible ways of communicating risks to the public and implementing mitigation policies; (6) comparing the costs of implementing combinations of existing and prospective policies; and (7) characterizing the array of coupling phenomena (time lags, thresholds, feedback loops, surprises, etc.) that comprise the dynamic interactions between nature and humans in the HABs context.  The project is expected to yield insights into a form of dynamic coupling between nature and humans that heretofore has not been studied in depth, one in which policy choices must be made about the relative usefulness of attempts to control either nature or human behavior, or both, in order to reduce harm.    This research project will enhance our understanding of how the dynamic interactions between natural and human systems influence and inform society's choice of public policies for mitigating the economic and public health effects of marine harmful algal blooms (HABs).  The coupled natural-human system of HABs and increasing coastal populations on the Florida Gulf Coast appear to exhibit many of the classic characteristics of dynamic coupled systems, such as feedbacks, thresholds, surprises, and legacy effects.  A better understanding of these characteristics can potentially lead to public policies that are better organized, more informed, less costly, and more effective.  The knowledge gained will inform researchers studying other coupled natural-human systems, thereby opening up other lines of research into coastal and aquatic regions affected by natural hazards around the world.",Beaumont Health,Beaumont,Beaumont & Corewell & Spectrum,3,True
5,id:1013468,900,1013468,NSF,"Spectrum Magnetics, LLC",WILMINGTON,DE,Hao,Zhu,SBIR Phase I:  Electromagnetic Pulse Sensors Based on Magnetic Nanowire Arrays,2010-05-25,2010-07-01,2010-12-31,149974,"This Small Business Innovation Research (SBIR) Phase I project aims to develop novel field detectors and memory devices capable of detecting magnetic field of an electromagnetic pulse (EMP). The sensor is made of magnetic nanowire arrays consisting of magnetic nanowires embedded in an insulating matrix, and is able to memorize the incoming rf magnetic field pulse as short as 100ps and  survive in an extreme EMP environment with fields as large as 2MV/m. Due to the passive operation mode, it can record rf field without electrical power. The recorded signal can then be read out during the power-on stage. The material system also shows other interesting phenomena such as tunable  ferromagnetic resonant (FMR) frequency. The objective of this research is to demonstrate the concept of using magnetic nanowire arrays to detect EMP. Specifically, issues including the stability of field detector in a microwave field and the response time will be addressed.    The broader impact/commercial potential of this project arises from the rich phenomena exhibited by the magnetic nanowire array, each leading to a class of applications. The ?memory effect? leads to EMP sensors and potential applications in radio frequency identification (RFID) applications. The  tunable FMR feature can be used to construct tunable rf circulators/isolators and electromagnetic interference (EMI) shielding. The high magnetic permeability in GHz range can be used as antenna substrates on which miniaturized antenna can be fabricated.",Spectrum Health,Spectrum,Spectrum,1,False
6,id:1015972,1418,1015972,NSF,University of Connecticut Health Center,FARMINGTON,CT,Cato,Laurencin,Individual Nomination,2010-03-16,2009-11-11,2012-08-31,10000,"CATO T. LAURENCIN                        University of Virginia      Dr. Cato Laurencin is the Lillian T. Pratt Distinguished Professor and Chairman of Orthopaedic Surgery and Professor of Biomedical Engineering, Professor of Chemical Engineering at the University of Virginia (UVa). He received his Ph.D. degree in biochemical engineering/biotechnology from the Massachusetts Institute of Technology (MIT), and an M.D. degree magna cum laude from Harvard Medical School. Dr. Laurencin is also a Fellow of the National Academy of Sciences, Institute of Medicine and world-renowned expert in shoulder and knee surgery. Dr. Laurencin received the Presidential Faculty Fellowship from President Bill Clinton in recognition of his efforts to bridge medicine and engineering.     Dr. Laurencin has also received numerous awards for his activities as a mentor and role model to underrepresented minority students and faculty including the William Grimes Award from the American Institute of Chemical Engineers which specifically recognizes a chemical engineer's outstanding achievements as a distinguished role model to minorities, the Virginia Engineering Foundation's Robert A. Bland award which recognizes extraordinary contribution to the field of UVa engineering by a faculty member whose contribution to the field is of particular significance to African-Americans, and the Commonwealth of Virginia's Workforce Diversity Award. Throughout his distinguished career, Dr. Laurencin has made deliberate steps to ensure his work impacts not only within the research community but also in the lives of the future generations of scientists and engineers that he personally mentors. His track record as an advocate for and mentor to underrepresented minority students, teachers and faculty is exemplary. Dr. Laurencin's programs indicate his passion for underrepresented students; from the Research Experience for Undergraduate (REU) programs  in which underrepresented minority undergraduate students spend a summer in the laboratory gaining exposure to the field of Biomedical Engineering, to the Research Experience for Teachers (RET) program that funds high school teachers to spend a summer learning about the field of Biomedical Engineering and then disseminate this information to their students. In the 18 years that Dr. Laurencin's laboratory has been in operation, over 85 underrepresented minority students at the undergraduate, graduate, and post-graduate levels have undertaken research projects in the lab, with over 20 students completing graduate or post graduate degrees, award presentations and honors research theses. An integral part of the current and future mentoring activities of the nominee is the inclusion of underrepresented minority students at the undergraduate and graduate levels as well as students, post-docs and faculty across a wide spectrum of disciplines.",Beaumont Health,Beaumont,Beaumont & Corewell & Spectrum,3,True
7,id:1020739,889,1020739,NSF,The University of Texas Health Science Center at Houston,HOUSTON,TX,Ambro,van Hoof,Antiviral Mechanisms of the Yeast RNA Decay Machinery And Viral  Countermeasures,2010-08-09,2010-09-01,2015-08-31,674450,"Intellectual Merit:  Host cells have developed a variety of methods to detect viral infection and reduce viral load. The adaptive immune system that generates antibodies against viruses is a well-characterized part of the antiviral defense, but this defense mechanism is only active in jawed-vertebrates. A second branch of the immune system, called the innate immune system, can also battle virus infection. The innate immune system is found in many different eukaryotic species and has been studied in vertebrates, invertebrates and plants, but remains relatively poorly studied in fungi. This project will focus on studying the mechanisms that cells use to combat viruses and the tactics that viruses, in return, use to evade host defenses. A key challenge in the host defense is to distinguish normal cellular RNAs from RNAs encoded by viral invaders. Host messenger RNA generally contains a single strand of RNA that is modified at its 5' start with a cap structure and at its 3' end with a poly(A) tail. RNA from viruses may be double stranded, uncapped, and/or lack a poly(A) tail. Several branches of the innate immune system recognize these general features of viral RNA. This research aims to demonstrate through the use of Baker's yeast and Yeast killer viruses that eukaryotic cells have an additional type of innate immunity against viral infection. Yeast contains Ski proteins, which function in RNA decay, and have an antiviral function. The hypothesis is that the yeast Ski proteins recognize RNA that lacks a poly(A) tail, such as viral RNA, and target it for degradation. It has been shown that the L-A virus has a process to produce uncapped cellular mRNA, and the mechanism by which this aids virus replication will also be investigated.  The research will provide new insights into the mechanisms by which viruses evade the host innate immune system.     Broader Impacts:  The research includes significant educational opportunities for graduate and undergraduate students. The research will be carried out in a lab with an established track record of giving undergraduate students an opportunity to do basic biological research. Undergraduate students who have worked in the lab for a summer are now in top-tier graduate schools. This research uses yeast genetic methods, which are especially well suited to teach students the process of generating a hypothesis, designing experiments to test this hypothesis and interpreting the resulting data within a summer research program. Contacts with three local minority-serving universities have been established to help recruit undergraduate students to participate in the proposed research.",Spectrum Health,Spectrum,Beaumont & Corewell & Spectrum,3,True
8,id:1021573,391,1021573,NSF,Oregon Health & Science University,PORTLAND,OR,Marcel,Wehrli,Signal integration and modulation by the Axin complex during Wnt/b-catenin signaling,2010-06-10,2010-07-01,2014-06-30,520000,"Throughout development and in the adult, cells receive specific signals that they must interpret precisely according to the signal's strength. Secreted proteins of the Wnt family represent one such signal. Wnts elicit precise changes in gene expression mediated by increased levels of the transcription factor Beta-catenin. Too much, or too little, of this signal leads to patterning defects and/or disease.     Wnts induce a Beta-catenin signal by blocking the function of the central pathway regulator, a protein complex assembled around the scaffold protein Axin. Multiple, potentially conflicting, inputs interact within the Axin complex. How these different inputs are integrated and dynamically controlled during Wnt signal transduction remains unclear. The focus of this project is to establish a dynamic model of Wnt/B-catenin signaling by identifying the location of the Axin complex and its sub-complexes during signal transduction. Genetic manipulations will then be used to determine the functional significance of the findings.    The current model of the Wnt/B-catenin pathway is based largely on studies using overexpression in tissue culture, and protein-protein interactions in vitro. The functional significance of these findings for normal signaling in vivo remains unclear. Significantly, in the proposed studies, the Wnt/B-catenin pathway will be analyzed in the model organism Drosophila, allowing its analysis in the normal cellular context and under physiological conditions. Additionally, visualization of the Axin protein complexes in real-time will establish a dynamic picture of Wnt signaling not achieved in previous studies. These studies are expected to identify novel regulatory interactions and may open the Wnt pathway to pharmacological intervention.    This project will provide an opportunity for one graduate student, and two undergraduate students to engage in cutting edge research. In addition, it will allow the PI to introduce K-12 students to basic development and genetics and to promote a science-based curriculum in local schools.",Corewell Health,Corewell,Beaumont & Corewell & Spectrum,3,True
9,id:1022075,896,1022075,NSF,"Loyola University of Chicago, Health Sciences Campus",MAYWOOD,IL,Erika,Piedras-Renteria,Modulation of Voltage-gated Calcium Channels and Neuronal Excitability by the Actin-binding Protein KLHL1,2010-08-09,2010-08-15,2014-07-31,706061,"ABSTRACT     Intellectual merit.  Actin-binding proteins are important modulators of cellular function.  They are particularly important in the nervous system, where they modulate the function of the actin cytoskeleton, which in turn, modulates processes such as the formation of axons, dendrites and synapses; vesicle recycling, synaptic activity and synaptic plasticity.  This project will determine the function of the recently discovered neuronal actin-binding protein Kelch-like 1 (or KLHL1).  In particular, this research will expand our knowledge of the role that this novel structural protein plays in calcium channel function, which is critical for intracellular communication and neurotransmission.  KLHL1 modulates calcium channel function by a newly identified pathway.  This project seeks to establish the cellular mechanism of this novel type of modulation.  The specific goals of this project are two-fold:  (1) To determine the physiological impact of the elimination of KLHL1.  The hypothesis is that the absence of KLHL1 in neurons results in altered neuronal function. (2) To determine the cellular mechanism by which KLHL1 modulates calcium channel function. The hypothesis is that KLHL1 interacts with the actin cytoskeleton within the neurons, altering the rate of endosomal recycling and resulting in the increased presence of calcium channels at the neuronal cell membrane.     Broader impacts.  This research will contribute to the understanding of the function of key proteins involved in neurotransmission and the modulation of the electrical activity of the brain.  The educational component of this project is to recruit under-represented minority undergraduate students to introduce science as a possible career, and to involve them in hypothesis-driven, high-caliber basic scientific research.  Activities will be conducted to encourage participation of junior undergraduate minority students in research and careers in science and will include outreach science seminars.  In parallel, students will be actively involved in full-time, hands-on laboratory work, seminar participation and data presentation.  This will enable them to learn new techniques, to develop scientific ideas, to think critically, and to experience the thrill of science.",Spectrum Health,Spectrum,Beaumont & Corewell & Spectrum,3,True
