project_title,agency_ic_admin,award_amount,semantic_research_area,semantic_cluster
Southeastern Michigan Parkinson's Disease Program,National Institute of Neurological Disorders and Stroke,10000.0,Clinical Research,4
Temporal Variation of Organ Dose Distribution in RT,National Cancer Institute,260726.0,Image & Treatment,7
Beaumont Interstitial Cystitis Clinical Research Network,National Institute of Diabetes and Digestive and Kidney Diseases,244125.0,Bladder & With,6
GRAND RAPIDS CLINICAL ONCOLOGY PROGRAM,National Cancer Institute,1237821.0,Clinical Research,4
Beaumont Community Clinical Oncology Program,National Cancer Institute,895001.0,Cancer & Treatment,0
Image Guided Intergrated Active Breath Hold Radiotherapy,National Cancer Institute,199500.0,Image & Treatment,7
Image-guided radiation therapy of prostate cancer,National Cancer Institute,204125.0,Image & Treatment,7
Temporal Variation of Organ Dose Distribution in RT,National Cancer Institute,253164.0,Image & Treatment,7
Urinary Incontinence Treatment Network,National Institute of Diabetes and Digestive and Kidney Diseases,283218.0,Will Research,1
Image Guided Integrated Active Breath Hold Radiotherapy,National Cancer Institute,193715.0,Image & Treatment,7
Beaumont Interstitial Cystitis Clinical Research Network,National Institute of Diabetes and Digestive and Kidney Diseases,237045.0,Bladder & With,6
Beaumont Interstitial Cystitis Clinical Research Network,National Institute of Diabetes and Digestive and Kidney Diseases,38995.0,Bladder & With,6
BEAUMONT/DETROIT CONTINENCE TREATMENT CENTER,National Institute of Diabetes and Digestive and Kidney Diseases,87395.0,Will Research,1
Beaumont Community Clinical Oncology Program,National Cancer Institute,1030000.0,Cancer & Treatment,0
GRAND RAPIDS CLINICAL ONCOLOGY PROGRAM,National Cancer Institute,936039.0,Clinical Research,4
Image-guided radiation therapy of prostate cancer,National Cancer Institute,206823.0,Image & Treatment,7
Urinary Incontinence Treatment Network,National Institute of Diabetes and Digestive and Kidney Diseases,474407.0,Will Research,1
Development of a quasi-CBCT system for image-guided radiotherapy,National Cancer Institute,225900.0,Image & Treatment,7
Planning a RCT of Group-Session BMP to Treat Older Adult Women with Incontinence,National Institute on Aging,123000.0,Will Research,1
GRAND RAPIDS CLINICAL ONCOLOGY PROGRAM,National Cancer Institute,1198666.0,Clinical Research,4
Urinary Incontinence Treatment Network,National Institute of Diabetes and Digestive and Kidney Diseases,388019.0,Will Research,1
Image-guided radiation therapy of prostate cancer,National Cancer Institute,198206.0,Image & Treatment,7
Beaumont Community Clinical Oncology Program,National Cancer Institute,1049588.0,Cancer & Treatment,0
Development of a quasi-CBCT system for image-guided radiotherapy,National Cancer Institute,101250.0,Image & Treatment,7
Beaumont Community Clinical Oncology Program,National Cancer Institute,749588.0,Cancer & Treatment,0
GRAND RAPIDS CLINICAL ONCOLOGY PROGRAM,National Cancer Institute,1278666.0,Clinical Research,4
Urinary Incontinence Treatment Network,National Institute of Diabetes and Digestive and Kidney Diseases,280670.0,Will Research,1
