system,appl_id,fiscal_year,project_num,core_project_num,project_title,award_amount,direct_cost,indirect_cost,project_start_date,project_end_date,award_notice_date,agency_ic_admin,pi_names,org_name,org_city,org_state,project_detail_url,abstract_text
Beaumont Health,7013965,2006,5U10NS044468-04,U10NS044468,Southeastern Michigan Parkinson's Disease Program,10000,20000,10000,2002-09-30T00:00:00,2005-12-02T00:00:00,2006-02-02T00:00:00,National Institute of Neurological Disorders and Stroke,PETER A LEWITT,WILLIAM BEAUMONT HOSPITAL RESEARCH INST,ROYAL OAK,MI,https://reporter.nih.gov/project-details/7013965,"
DESCRIPTION (provided by applicant):  This application responds to RFA-NS-02-010 (""Parkinson Disease Neuroprotection Trial: Clinical Centers""). The Southeastern Michigan Parkinson's Disease Program describes the research experience, facilities, and operational capabilities for collaborative sites that will work together closely: the William Beaumont Hospital System, the Clinical Neuroscience Center (CNC), a Parkinson's disease (PD) research and treatment program in Southfield, and the PD clinics at the Wayne State University School of Medicine (WSU SOM) campus in Detroit. We propose to participate in a nationwide effort for recruiting and conducting randomized, double blind clinical trials of neuroprotection for PD. The CNC, designated by the National Parkinson Foundation as Michigan's Center of Excellence, has developed the State's largest PD patient base and referral network. For almost 20 years, the CNC has been one of the nation's leading sites for conducting Phase 1 through IV clinical research in PD. The CNC's extensive affiliations with the region's PD patient community as well as with health providers in Michigan, Ohio, and southwestern Ontario should maximize opportunities for recruiting de novo PD patients. The two sites will enhance the diversity of study participants, especially with the WSU SOM services to a large inner city population and a major Veterans Administration Medical Center.The CNC's extensive experience in PD drug research has involved clinical trials (including several neuroprotection studies) sponsored by the pharmaceutical industry, the NIH, and the Parkinson Study Group. The Principal Investigator is enthusiastic to participate in the multi-site collaborative program and can offer a leadership role in the choice and coordination of studies.This application also discusses concepts for three pharmacological agents that could be investigated in pilot studies and, if promising, in multicenter clinical trials for assessing neuroprotection.  "
Beaumont Health,7018551,2006,5R01CA091020-04,R01CA091020,Temporal Variation of Organ Dose Distribution in RT,260726,173817,86909,2003-03-01T00:00:00,2008-02-29T00:00:00,2006-02-17T00:00:00,National Cancer Institute,DI  YAN,WILLIAM BEAUMONT HOSPITAL RESEARCH INST,ROYAL OAK,MI,https://reporter.nih.gov/project-details/7018551,"
DESCRIPTION (provided by applicant): A large number of imaging studies performed during the course of radiation treatment have indicated substantial patient setup and soft tissue position variation. Consequently, significant temporal variation of dose distribution in organs of interest (TVODD) exists during the course of radiotherapy and presents itself as one of the most difficult problems for quantitative radiotherapy analysis. Without fully understanding this variation, the treatment outcome, particularly normal tissue dose response, cannot be correctly correlated to the prescribed dose, thereby preventing reliable treatment evaluation and optimization. This fundamental problem is further exacerbated for a high conformal treatment. It is our hypothesis that quantifying TVODD in radiotherapy is essential for realizing the potential of advanced treatment technologies (e.g. IMRT). Knowledge of the temporal variation of the dose distribution in critical normal structures can be exploited to improve ongoing treatment, if the variation is quantified. Otherwise, TVODD remains as a major source of uncertainty in the treatment process. To test our hypothesis, the following Specific Aims will be pursued: (1) Integrate a soft tissue biomechanics model and finite element algorithm into the image based organ registration and evaluation system, and perform a study to determine the sensitivity of the registration model to variations of tissue mechanical properties and organ boundary conditions, (2) Validate the image based organ registration, in vivo, by using multiple CT images collected from patients with embedded radiomarkers, (3) Perform clinical studies to determine the potential impact of temporal variation of organ dose distribution on treatment planning evaluation and decisions. Explore practical methods to include temporal variation of organ dose distribution, estimated from image feedback, in treatment planning optimization.  "
Beaumont Health,7036549,2006,5U01DK065192-04,U01DK065192,Beaumont Interstitial Cystitis Clinical Research Network,244125,255017,123508,2003-09-01T00:00:00,2008-02-28T00:00:00,2006-05-19T00:00:00,National Institute of Diabetes and Digestive and Kidney Diseases,KENNETH M PETERS,WILLIAM BEAUMONT HOSPITAL RESEARCH INST,ROYAL OAK,MI,https://reporter.nih.gov/project-details/7036549,"DESCRIPTION (provided by applicant):   
The objective is to work in a collaborative effort with other centers of excellence to develop and execute clinical trials for the treatment of interstitial cystitis. Established mechanisms are in place at William Beaumont Hospital, Department of Urology for enrolling and retaining interstitial cystitis patients into clinical research trials. We will work closely with the Interstitial Cystitis Research Network (ICCRN), the Data Coordinating Center, the Steering committee members, and the Urological Chronic Pelvic Pain Syndromes collaborative group to develop clinical research protocols along with ancillary studies on IC. The specific aims are to determine the role of sacral nerve modulation in treating interstitial cystitis symptoms in established IC patients who have failed traditional medical management or in newly diagnosed IC patients who did not respond to an operative hydro distension and at least 6 months of standard IC therapy. Response rates of sacral nerve modulation in the established IC (> 12 months) and newly diagnosed (<12 months) will be compared. We will use the outcomes criteria already established by the Interstitial Cystitis Clinical Trials Group and in addition, Morphine Dose Equivalents will be monitored before and after permanent implantation of the neuro generator. Adverse events and complications will be monitored. Ancillary studies as agreed upon by the ICCRN will be carried out in conjunction with the clinical trial."
Corewell Health,7082970,2006,5U10CA035178-23,U10CA035178,GRAND RAPIDS CLINICAL ONCOLOGY PROGRAM,1237821,896022,341799,1987-06-01T00:00:00,2010-05-31T00:00:00,2006-08-24T00:00:00,National Cancer Institute,Marianne K Lange,COREWELL HEALTH,GRAND RAPIDS,MI,https://reporter.nih.gov/project-details/7082970,"  
DESCRIPTION (provided by applicant):   
The Grand Rapids Clinical Oncology Program (GRCOP) has achieved a national reputation for excellence in community cancer care through its 29-year participation in programs of the National Cancer Institute. In 2003, the GRCOP was highlighted by the NCI as one of 27 CCOPs continuously funded since 1983. The GRCOP comprises a consortium of nine health care systems/hospitals in Western and lower-Northern Michigan and seeks to continue to meet the community's need for innovative and relevant studies of promising therapeutic modalities and cancer controls research. The ongoing mission of the Grand Rapids Clinical Oncology Program is to assure that every person in the region served is provided an opportunity for participation in national cancer prevention and treatment clinical trials. Additionally, we strive to provide education about cancer and the NCI clinical trials program. This grant application encompasses and articulates an ever-expanding vision for the GRCOP. Key strategies to increase patient access and accrual to research protocols include: (1) expansion of on-site screening and patient identification for enrollment in research protocols; (2) development of a targeted clinical trials program for adolescents/young adults; (3) the addition of the Radiation Oncology Therapy Group (RTOG) as a research base, bringing the number of NCI research bases with which the GRCOP affiliates to 8; (4) partnering with NCI in its efforts to increase accrual of the elderly population to clinical trials; and (5) increased involvement by primary care providers and specialty physicians in cancer prevention and control protocols. Strategic initiatives to increase access to and participation in cancer clinical trials by underserved and minority populations incorporate alignment with community organizations throughout the patient catchment area, with an expanding focus on the growing Hispanic/Latino population. Of importance during this upcoming grant cycle will be the GRCOP's continued focus on improving the efficiency and cost-effectiveness of participation in clinical trials through expansion of its data management software system to include both a drug inventory management module and an IRB module. The GRCOP is confident these goals will be accomplished because of the investigators and staff firmly believes that what they do is critically important for present and future oncologic care. The Grand Rapids Clinical Oncology Program represents a proven resource with significant ongoing potential to serve the objectives of the National Cancer Institute's CCOP program. Convinced that our patients are better served by the availability of a strong, quality-oriented community research program, the Grand Rapids Clinical Oncology Program is committed to remaining one of the most successful CCOPs in the country, contributing significantly to oncology clinical research.  
      

"
Beaumont Health,7090100,2006,5U10CA095860-05,U10CA095860,Beaumont Community Clinical Oncology Program,895001,596667,298334,2002-06-27T00:00:00,2010-05-31T00:00:00,2006-08-15T00:00:00,National Cancer Institute,DAVID A DECKER,WILLIAM BEAUMONT HOSPITAL RESEARCH INST,ROYAL OAK,MI,https://reporter.nih.gov/project-details/7090100,"  
DESCRIPTION (provided by applicant):   
William Beaumont Hospital (WBH) located in the northwest Detroit suburb of Royal Oak, Michigan (1091 beds) and in the rapidly growing suburb of Troy, Michigan (242-beds, approximately twelve miles northeast of Royal Oak), continues to be a highly productive contributor to the NCI's Community Clinical Oncology Program. Against the diverse demographic backdrop of Oakland and Macomb Counties (combined population exceeding 2 million) and WBH's history of diagnosing over 4,000 new cancer cases per year, the Beaumont CCOP (BCCOP) is able to offer 110 multi-disciplinary investigators in 20 specialty departments. This includes a strong surgical component as witnessed by the accrual performance achieved during the past two years of our being designated a CCOP. In our first year with the CCOP (2002-03) we were able to accumulate an aggressive 151.3 treatment and 178.6 control credits, for a grand total of 329.9 credits. In our second year as a CCOP (2003-04), with our focus on cancer control, we accumulated an impressive 288.4 control and 99.2 treatment credits, totaling 387.6 strong. Current results indicate that in our third year (2004-05) we anticipate to accrue 190.1 treatment and a noteworthy 374.7 control credits, arriving at an estimated combined total of 563.8 The continuing goals of the BCCOP include increasing the accrual of patients to treatment trials, carefully following patients and participants currently on study, and to further build our cancer control capabilities. The specific aims of the program are to reduce cancer incidence, morbidity, and mortality by accelerating the transfer of newly developed cancer prevention therapies, to improve early detection rates, and to facilitate patient treatment management, rehabilitation, and the dissemination of scientific results to the profession and to the general public. To ensure that we achieve quality results through the scientific process, we utilize a centralized research support approach through an established Cancer Clinical Trials office (CCTO), an experienced Institutional Review Board (IRB), a credentialed pharmacy staff, a Protocol Review Committee (PRC), and a Steering Committee commissioned to guide and supervise the activities of BCCOP. The Beaumont CCOP bases all activities on our motto: ""Today's clinical trial for tomorrow's standard of care.""      

"
Beaumont Health,7102043,2006,1R01CA116249-01A1,R01CA116249,Image Guided Intergrated Active Breath Hold Radiotherapy,199500,133000,66500,2006-06-01T00:00:00,2010-04-30T00:00:00,2006-05-05T00:00:00,National Cancer Institute,Geoffrey D Hugo,WILLIAM BEAUMONT HOSPITAL RESEARCH INST,ROYAL OAK,MI,https://reporter.nih.gov/project-details/7102043,"  
DESCRIPTION (provided by applicant): Control of the primary tumor is a major goal of radiotherapy for cancer. Escalating the dose delivered to the tumor provides a method to improve local control. For lung cancer patients in particular, respiratory-induced organ motion has impeded safe dose escalation. Methods to compensate for this motion or to immobilize the tumor have been developed in recent years. However, these new technologies have not been applied in concert with reduced margins that would enable dose escalation due to the lack of data characterizing uncertainty in respiratory-induced organ motion. It is critical to characterize the uncertainties associated with tumor immobilization to enable the use of appropriate margins. It is our hypothesis that the combination of image guidance techniques and integrated active breath hold radiotherapy will enable characterization and reduction of the geometric uncertainties due to respiratory-induced organ motion. Active breathing control (ABC) has been shown to be a safe and effective means of tumor immobilization for breast cancer patients which allows for the reduction of the dose to normal tissue structures such as the heart and lungs. For lung cancer patients, however, the ABC technique must be adapted to increase compliance for patients with pulmonary compliance issues. Furthermore, the integration of image guidance techniques with ABC radiotherapy enables the characterization and reduction of daily setup variation and immobilization uncertainty. The specific aims of this project are to (1) Measure the random and systematic uncertainties of tumor immobilization for integrated active breath hold radiotherapy. (2) Evaluate a model image-guidance strategy with respect to the presence of these uncertainties and to design a treatment margin to compensate for these uncertainties. (3) Quantify residual setup error in a small population of patients.   
    

"
Beaumont Health,7141917,2006,1R01CA118037-01A1,R01CA118037,Image-guided radiation therapy of prostate cancer,204125,142000,62125,2006-09-01T00:00:00,2010-07-31T00:00:00,2006-09-01T00:00:00,National Cancer Institute,Qiuwen  Wu,WILLIAM BEAUMONT HOSPITAL RESEARCH INST,ROYAL OAK,MI,https://reporter.nih.gov/project-details/7141917,"  
DESCRIPTION (provided by applicant): External beam radiation therapy is a major and effective treatment modality for prostate cancer. Despite the significant improvement over the past decades, tumor control rates and radiation induced complication rates have been suboptimal. One major cause is the geometrical and anatomical variations during the treatment course, such as patient setup and organ motion at each step of treatment process. To account for these uncertainties, margins are added during treatment planning to ensure adequate target coverage. The margins increase the irradiated volume which may encompass a significant portion of critical organs. To reduce margins safely, accurate information of patient anatomy under the treatment condition are required. Recent advancement in delivery system includes mounting a kV X-ray imaging system capable of cone-beam CT on board the linear accelerator. High spatial resolution CT images from the system have good soft tissue contrast to localize prostate gland accurately at treatment condition. However, the benefits of cone-beam CT in reducing uncertainties in clinical environment are unknown and no dosimetric evaluation has been performed in determining the optimal margin reduction using cone-beam CT. The hypothesis of this project is that, optimal and efficient use of the on-board imaging system, integrated with offline adaptive plan optimization and online treatment intervention, can significantly increase the dose gradient between the tumors and critical organs. Three specific aims will be pursued. (1) Develop image guidance strategies for prostate cancer treatment that include online geometric treatment intervention (plan correction) and offline adaptive dosimetric plan re-optimization. The goal of online process is to eliminate uncertainties from setup and inter-fraction motion. The residues and intra-fraction motions are incorporated in the offline process. (2) Evaluate and optimize image guidance strategies through comparative planning studies against the current standard methods and validate cone-beam CT for image guidance. (3) Perform pre-clinical studies to test feasibility and efficiency of the image guidance strategies. The long-term goal of this project is to implement a clinical process of image guided radiotherapy of prostate cancer, in which geometric variations will be incorporated into treatment planning and delivery through image feedback. The adoption of image guidance will allow significantly increased local control and reduced radiation induced complications in prostate cancer patients.   
    

"
Beaumont Health,7188091,2007,5R01CA091020-05,R01CA091020,Temporal Variation of Organ Dose Distribution in RT,253164,168776,84388,2003-03-01T00:00:00,2009-02-28T00:00:00,2007-02-16T00:00:00,National Cancer Institute,DI  YAN,WILLIAM BEAUMONT HOSPITAL RESEARCH INST,ROYAL OAK,MI,https://reporter.nih.gov/project-details/7188091,"
DESCRIPTION (provided by applicant): A large number of imaging studies performed during the course of radiation treatment have indicated substantial patient setup and soft tissue position variation. Consequently, significant temporal variation of dose distribution in organs of interest (TVODD) exists during the course of radiotherapy and presents itself as one of the most difficult problems for quantitative radiotherapy analysis. Without fully understanding this variation, the treatment outcome, particularly normal tissue dose response, cannot be correctly correlated to the prescribed dose, thereby preventing reliable treatment evaluation and optimization. This fundamental problem is further exacerbated for a high conformal treatment. It is our hypothesis that quantifying TVODD in radiotherapy is essential for realizing the potential of advanced treatment technologies (e.g. IMRT). Knowledge of the temporal variation of the dose distribution in critical normal structures can be exploited to improve ongoing treatment, if the variation is quantified. Otherwise, TVODD remains as a major source of uncertainty in the treatment process. To test our hypothesis, the following Specific Aims will be pursued: (1) Integrate a soft tissue biomechanics model and finite element algorithm into the image based organ registration and evaluation system, and perform a study to determine the sensitivity of the registration model to variations of tissue mechanical properties and organ boundary conditions, (2) Validate the image based organ registration, in vivo, by using multiple CT images collected from patients with embedded radiomarkers, (3) Perform clinical studies to determine the potential impact of temporal variation of organ dose distribution on treatment planning evaluation and decisions. Explore practical methods to include temporal variation of organ dose distribution, estimated from image feedback, in treatment planning optimization.  "
Beaumont Health,7214253,2006,2U01DK058231-06,U01DK058231,Urinary Incontinence Treatment Network,283218,316301,93642,2000-09-30T00:00:00,2010-06-30T00:00:00,2006-09-20T00:00:00,National Institute of Diabetes and Digestive and Kidney Diseases,ANANIAS C DIOKNO,WILLIAM BEAUMONT HOSPITAL RESEARCH INST,ROYAL OAK,MI,https://reporter.nih.gov/project-details/7214253,"  
DESCRIPTION (provided by applicant): OVERVIEW OF PROPOSAL This proposal is submitted in response to RFA-DK-06-501 for continuation of the Urinary Incontinence Treatment Network (UITN). Phase II of the UITN will include continued conduct of the TOMUS trial as well as continuation of the observational follow-up studies for the SISTEr and BE-DRI studies (called E-SISTEr and E-BE-DRI) conducted in Phase I. Because the primary effort of Phase II will be directed toward conduct of the TOMUS trial, this proposal describes in detail the scientific rationale for and the conduct of this trial. The protocol for this trial was developed in response to a request from NIDDK in mid-2004 for development of a third study to be conducted by the UITN. The protocol was subsequently reviewed in May 2005 by an Ad Hoc Advisory Committee constituted by the NIDDK and then by the UITN DSMB in the fall of 2005. At each point of review, recommendations by the respective committees were considered carefully by the UITN investigators and revisions to the protocol were made where considered indicated and appropriate. The UITN DSMB approved the protocol in February 2006 and recruitment for the trial will start in late March 2006. This proposal also describes the Study Aims and methods for the E-SISTEr and E-BE-DRI studies (section D.7). The full protocols, including a description of the Study Aims, designs and methods for the SISTEr and BE-DRI studies are included in Appendix B.    

"
Beaumont Health,7230450,2007,5R01CA116249-02,R01CA116249,Image Guided Integrated Active Breath Hold Radiotherapy,193715,129143,64572,2006-06-01T00:00:00,2008-04-30T00:00:00,2007-03-30T00:00:00,National Cancer Institute,Geoffrey D Hugo,WILLIAM BEAUMONT HOSPITAL RESEARCH INST,ROYAL OAK,MI,https://reporter.nih.gov/project-details/7230450,"  
DESCRIPTION (provided by applicant): Control of the primary tumor is a major goal of radiotherapy for cancer. Escalating the dose delivered to the tumor provides a method to improve local control. For lung cancer patients in particular, respiratory-induced organ motion has impeded safe dose escalation. Methods to compensate for this motion or to immobilize the tumor have been developed in recent years. However, these new technologies have not been applied in concert with reduced margins that would enable dose escalation due to the lack of data characterizing uncertainty in respiratory-induced organ motion. It is critical to characterize the uncertainties associated with tumor immobilization to enable the use of appropriate margins. It is our hypothesis that the combination of image guidance techniques and integrated active breath hold radiotherapy will enable characterization and reduction of the geometric uncertainties due to respiratory-induced organ motion. Active breathing control (ABC) has been shown to be a safe and effective means of tumor immobilization for breast cancer patients which allows for the reduction of the dose to normal tissue structures such as the heart and lungs. For lung cancer patients, however, the ABC technique must be adapted to increase compliance for patients with pulmonary compliance issues. Furthermore, the integration of image guidance techniques with ABC radiotherapy enables the characterization and reduction of daily setup variation and immobilization uncertainty. The specific aims of this project are to (1) Measure the random and systematic uncertainties of tumor immobilization for integrated active breath hold radiotherapy. (2) Evaluate a model image-guidance strategy with respect to the presence of these uncertainties and to design a treatment margin to compensate for these uncertainties. (3) Quantify residual setup error in a small population of patients.   
    

"
